ID,R_DATE,C_NUM,Q_NUM,DIFFICULTY,Q_TYPE,SOURCE,SOURCE_TYPE,S_CAT,CAT,QUESTION,A1,A2,A3,A4,IMAGE_FILE
0000001,,,,,MULTIPLE CHOICE,QUIZGRIZ.COM,INTERNET,GAMES: VIDEO GAMES,GAMES: VIDEO GAMES,WHICH OF THE FOLLOWING VIDEO GAMES WAS RELEASED FIRST?,FROGGER+,TETRIS,THE LEGEND OF ZELDA,SUPER MARIO BROS.,
0013549,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? HAL 9000",2001: A SPACE ODYSSEY+,TOTAL RECALL,ALIENS,STAR WARS,
0013550,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? TEDDY",ALIEN: RESURRECTION,RED PLANET,FORBIDDEN PLANET,A.I.: ARTIFICIAL INTELLIGENCE+,
0013551,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? AMEE",JUDGE DREDD,ALIEN: RESURRECTION,WALL-E,RED PLANET+,
0013552,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? ANDREW (MARTIN)",BICENTENNIAL MAN+,THE DAY THE EARTH STOOD STILL,A.I.: ARTIFICIAL INTELLIGENCE,WALL-E,
0013553,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? ILIA PROBE",BICENTENNIAL MAN,SILENT RUNNING,STAR TREK: THE MOTION PICTURE+,RED PLANET,
0013554,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? THE SENTINELS",STAR TREK: THE MOTION PICTURE,MOON,JUDGE DREDD,THE MATRIX REVOLUTIONS+,
0013555,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? SID 6.7",JUDGE DREDD,ALIEN: RESURRECTION,MOON,VIRTUOSITY+,
0013556,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? CALL",VIRTUOSITY,RED PLANET,BLADE RUNNER,ALIEN: RESURRECTION+,
0013557,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? LISA",STAR TREK: THE MOTION PICTURE,WEIRD SCIENCE+,"I, ROBOT",BLADE RUNNER,
0013558,,,,,MULTIPLE CHOICE,TRIVIAPLAZA.COM,INTERNET,,,"THIS IS A ROBOT, COMPUTER OR ANDROID FROM WHICH MOVIE? DOT MATRIX",MAKING MR. RIGHT,SPACEBALLS+,SILENT RUNNING,WEIRD SCIENCE,
